#{"t_start": 1782899080.6953182, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.85248,80,23.163146,False,0.5177521067122302,False,False,2.0838529120567904,max_steps,0.5814992514355665,1.724529258090396,0.5814992514355665,1.5971541639819211,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-10.692407,80,43.982173,False,1.0091152940928496,False,False,2.195251134716319,max_steps,0.6942421930296582,1.708008919260217,0.7098967812712677,1.574732617170775,80,80,1.0,velocity,post_controller_hold,False,,0.0625,0.326,not_attempted,0.0,False
-9.718984,80,65.358428,False,1.161717109577993,False,False,1.7717308458602312,max_steps,1.205369987951217,3.00243587803245,1.205369987951217,1.6272659368808355,80,80,1.0,velocity,post_controller_hold,False,,0.2057,0.9231,not_attempted,0.0,False
-7.672496,80,88.146738,False,0.7595280726173347,False,False,2.08245509273064,max_steps,0.5534759976411133,2.639422947292714,0.7398103673725457,1.6069520651704499,80,80,1.0,velocity,post_controller_hold,False,,0.198,0.7478,not_attempted,0.0,False
-12.274052,80,113.769278,False,1.773578209384471,False,False,3.3137240957596514,max_steps,1.6538846987381934,3.4913934990318642,1.6538846987381934,1.665117995639222,80,80,1.0,velocity,post_controller_hold,False,,0.0931,1.7724,not_attempted,0.0,False
-6.7475657,80,137.998629,False,0.9827718539893593,False,False,2.276279387973674,max_steps,1.2310661300303503,2.786300759632957,1.2461465639970013,1.6152179767118902,80,80,1.0,velocity,post_controller_hold,False,,0.0393,0.0151,not_attempted,0.0,False
18.458666,21,161.442646,True,0.37667765147332194,False,False,1.7002207538163714,success,0.6769094540557667,1.0826766421436482,0.6769094540557667,1.613058929806803,21,21,1.0,velocity,post_controller_hold,False,,0.1442,1.2375,not_attempted,0.0,False
19.576658,1,184.596784,True,0.36239481315031824,False,False,1.6068472346361737,success,0.04019195344583846,0.04019195344583846,0.04019195344583846,1.581990938041053,1,1,1.0,velocity,post_controller_hold,False,,0.2228,0.6467,not_attempted,-0.44057078755420637,True
-9.2037735,80,279.412894,False,0.918182046668785,False,False,1.582950233168296,max_steps,1.2352769714868055,3.492586846239992,1.2352769714868055,1.582950233168296,80,80,1.0,velocity,post_controller_hold,False,,0.1681,0.8565,not_attempted,-0.3409953366340801,False
-11.957631,80,313.155565,False,1.4684161275012726,False,False,2.2194346563826106,max_steps,1.7362802694044341,3.195602028791494,1.7362802694044341,1.6136256326618674,80,80,1.0,velocity,post_controller_hold,False,,0.0187,1.4496,not_attempted,0.0,False
-10.627479,80,352.490305,False,1.3543920729368188,False,False,2.28576272134199,max_steps,1.836267575715194,3.21309366009086,1.9749088543622486,1.6194365548702163,80,80,1.0,velocity,post_controller_hold,False,,0.1311,2.7334,not_attempted,0.0,False
-14.440712,80,387.464705,False,1.908000532024618,False,False,2.852126301897772,max_steps,1.4594625416471196,2.5212935556866407,1.4594625416471196,1.7003262181619792,80,80,1.0,velocity,post_controller_hold,False,,0.2039,0.8402,not_attempted,0.0,False
-15.437413,80,428.153036,False,1.2680699808044313,False,False,2.1271179119219115,max_steps,0.8721203926639124,1.669245349550858,0.8721203926639124,1.5613485403297083,80,80,1.0,velocity,post_controller_hold,False,,0.0646,0.3344,not_attempted,0.0,False
17.972595,26,463.608187,True,0.36450080376933375,False,False,1.7567947661785017,success,0.3851672728222536,0.6197734770918083,0.3851672728222536,1.6542424588689444,26,26,1.0,velocity,post_controller_hold,False,,0.1153,0.6398,not_attempted,0.0,False
-5.0475464,80,511.103149,False,0.5671058980782905,False,False,2.008556454769187,max_steps,0.6346197035947002,1.0375345553910702,0.6346197035947002,1.6470589887870588,80,80,1.0,velocity,post_controller_hold,False,,0.2267,0.3976,not_attempted,0.0,False
-7.425913,80,554.781469,False,0.4496762975757734,False,False,1.941038005054739,max_steps,0.6185632224241091,3.2834181391113697,1.2212909431353396,1.665865709567142,80,80,1.0,velocity,post_controller_hold,False,,0.238,2.6354,not_attempted,0.0,False
-18.468649,80,609.501079,False,2.3518393181891764,False,False,3.8160725290543716,max_steps,2.2637847369262722,3.4968170784107144,2.2637847369262722,1.662355273643908,80,80,1.0,velocity,post_controller_hold,False,,0.2105,1.9078,not_attempted,0.0,False
