#{"t_start": 1782822512.4301374, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted
-18.677341,200,38.123319,False,2.3391136393370897,False,False,3.3317643938473815,max_steps,3.1606692306978665,10.869821995800953,3.5530289036417004,0.9527249290086581,200,200,1.0,simulator_service,service_success,True
-23.065775,29,52.469184,False,2.4649915166702248,False,True,0.52463419451578,unsafe_low_altitude,1.4518210904962476,1.8217410697591416,1.4518210904962476,0.52463419451578,29,29,1.0,velocity,post_controller_hold,False
-26.183779,36,67.063312,False,2.946658363902527,False,True,0.6405626922621395,unsafe_low_altitude,1.399751818046152,1.8572078006237351,1.399751818046152,0.6405626922621395,36,36,1.0,velocity,post_controller_hold,False
-17.038412,12,80.701206,False,1.6397691171811961,False,True,0.5665819546966113,unsafe_low_altitude,0.9181397884321085,0.9203362201421986,0.9181397884321085,0.5665819546966113,12,12,1.0,velocity,post_controller_hold,False
-24.661964,33,95.664245,False,2.159358225305345,False,True,0.7402740988603661,unsafe_low_altitude,0.33298083524803623,0.9151700355004009,0.35350422677983967,0.7402740988603661,33,33,1.0,velocity,post_controller_hold,False
-101.28639,194,134.053385,False,4.433627556762423,True,False,2.9790142373886535,out_of_bounds,5.970061964929468,17.117488842783008,5.970061964929468,0.9875508487231781,194,194,1.0,velocity,post_controller_hold,False
-48.964478,200,172.196901,False,2.1460622671234706,False,False,1.6379629871397103,max_steps,3.4221409144068238,10.063663085637636,3.7551375740786304,0.958732265088735,200,200,1.0,velocity,post_controller_hold,False
-18.608353,24,191.543069,False,1.943112005698981,False,True,0.6260328223925524,unsafe_low_altitude,0.905715349954147,1.687498454430812,0.9741108211320724,0.6260328223925524,24,24,1.0,velocity,post_controller_hold,False
-70.445404,200,229.433102,False,4.111413433566411,False,False,4.189160389251672,max_steps,3.577844889278514,12.924237293212455,3.751296073749503,0.9852918921413172,200,200,1.0,velocity,post_controller_hold,False
-29.460798,59,255.035647,False,2.4210771117238012,False,True,0.40506689059141693,unsafe_low_altitude,2.10185191602115,3.261683802718531,2.10185191602115,0.40506689059141693,59,59,1.0,velocity,post_controller_hold,False
-40.560238,77,280.639586,False,2.0375890786598396,False,True,0.6173433523553152,unsafe_low_altitude,0.3595290773545573,2.970902229874776,0.8015919019666684,0.6173433523553152,77,77,1.0,velocity,post_controller_hold,False
-16.189869,20,304.595285,False,0.9580375971472906,False,True,0.6482331305003185,unsafe_low_altitude,1.159251820071275,1.1604853973015672,1.159251820071275,0.6482331305003185,20,20,1.0,velocity,post_controller_hold,False
-71.898285,200,351.075683,False,5.5508359264030736,False,False,3.641463335604569,max_steps,4.147573277752193,12.418773082880142,4.147573277752193,1.0065172620634866,200,200,1.0,velocity,post_controller_hold,False
-26.176487,44,380.356193,False,1.1428714921478256,False,True,0.6782801195120685,unsafe_low_altitude,0.9573479548462693,1.6395704595573375,0.9573479548462693,0.6782801195120685,44,44,1.0,velocity,post_controller_hold,False
-16.34745,26,400.973881,False,2.495334017497365,False,True,0.5006111172456913,unsafe_low_altitude,0.7720283366202998,0.8502416495483769,0.7720283366202998,0.5006111172456913,26,26,1.0,velocity,post_controller_hold,False
-45.49619,69,441.70392,False,4.3128815858439085,False,True,0.3347083630404306,unsafe_low_altitude,2.5601386376625923,3.9620221539209233,2.5601386376625923,0.3347083630404306,69,69,1.0,velocity,post_controller_hold,False
-18.671436,10,467.023023,False,2.064871143022427,False,True,0.4488878368472323,unsafe_low_altitude,0.5866622978485294,0.5866622978485294,0.5866622978485294,0.4488878368472323,10,10,1.0,velocity,post_controller_hold,False
-51.765514,200,527.442518,False,2.3982554281816904,False,False,2.516520026005047,max_steps,4.223330902494395,12.758845889091855,4.223330902494395,0.8593348886965652,200,200,1.0,velocity,post_controller_hold,False
-19.014742,34,554.905854,False,1.403647363818393,False,True,0.6200577470287462,unsafe_low_altitude,0.8080548614230962,2.0782212581845507,0.8080548614230962,0.6200577470287462,34,34,1.0,velocity,post_controller_hold,False
