#{"t_start": 1782647483.325197, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason
-17.74082,200,41.158643,False,2.2603537775116855,False,False,3.254702883153419,max_steps
-25.154205,36,55.804449,False,2.6206605968972063,False,True,0.3225904395938221,unsafe_low_altitude
-24.828234,37,70.353412,False,2.6389025497172267,False,True,0.26753118313412116,unsafe_low_altitude
-20.143497,38,84.736314,False,1.990630126084574,False,True,0.20535037840631368,unsafe_low_altitude
-86.82881,200,123.301598,False,3.9576434744542803,False,False,3.088948358546774,max_steps
-47.19169,200,159.888658,False,2.6393064146991834,False,False,2.5034287736272063,max_steps
-92.40956,200,195.813106,False,5.753545177938697,False,False,4.702032006421296,max_steps
-27.659637,71,221.322313,False,2.0515525057261237,False,True,0.20526798203161029,unsafe_low_altitude
-32.301445,91,250.253848,False,1.2506603933127096,False,True,0.2885617926040996,unsafe_low_altitude
-45.858986,200,292.697999,False,4.652945096122572,False,False,2.810997566711781,max_steps
-36.73725,79,318.376506,False,2.9270389895819147,False,True,0.13405124030405088,unsafe_low_altitude
-51.492878,85,350.768218,False,4.9284309348217255,False,True,0.16633014867411192,unsafe_low_altitude
-53.63561,200,395.528652,False,1.3312346424119803,False,False,2.134911554591198,max_steps
