#{"t_start": 1782839707.092551, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,vertical_safety_penalty,low_altitude_guard_active
-2.883002,80,24.32802,False,0.5147903532429734,False,False,2.080237771585854,max_steps,0.5769249470713819,1.7132716921114095,0.5769249470713819,1.59864912619873,80,80,1.0,simulator_service,service_success,True,0.0,False
-3.503955,80,45.041822,False,0.8430060769790677,False,False,2.2940594842724966,max_steps,0.6714410595541012,1.339892041731397,0.6714410595541012,1.624650461355742,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-3.2535946,80,65.502879,False,0.45730911763921406,False,False,1.9006868545207798,max_steps,0.4476159338809608,1.6495610321878924,0.7376024211929819,1.6494062849804798,80,80,1.0,velocity,post_controller_hold,False,0.0,False
15.332975,61,83.076641,True,0.38117651623412124,False,False,1.8984041432071066,success,0.5034754953819432,1.8770942374374469,0.7498689974187063,1.606948657590507,61,61,1.0,velocity,post_controller_hold,False,0.0,False
-34.566452,80,111.521354,False,1.5659218277610212,False,False,2.876819894429386,max_steps,1.6037240404379272,2.647779145104697,1.6037240404379272,1.5383408079029057,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-10.883333,80,140.976488,False,1.6170209046707507,False,False,2.9348392946164323,max_steps,1.8716238897316169,3.1094633346117395,1.8716238897316169,1.6093866113958017,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-5.950202,80,166.736079,False,1.184563847930368,False,False,2.477419199877748,max_steps,0.8810707100809487,2.1815853803291856,0.8810707100809487,1.6388877014965386,80,80,1.0,velocity,post_controller_hold,False,0.0,False
18.164818,36,189.481953,True,0.3387694671303648,False,False,1.7763494311094266,success,0.34468857643616546,0.9764721867926001,0.4256830240707904,1.6054249841007469,36,36,1.0,velocity,post_controller_hold,False,0.0,False
-4.381147,80,218.256274,False,0.6246935422608545,False,False,1.7923504333012479,max_steps,0.8518840153616773,1.2124363455998366,0.872443540367958,1.6290923763906886,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-60.693348,80,249.616311,False,0.7966141238126933,False,False,1.584918426222515,max_steps,0.4280066073910404,1.7165482077840555,0.6724191863383376,1.4525951693813663,80,80,1.0,velocity,post_controller_hold,False,-0.3016314755496996,False
-28.908667,80,279.641987,False,0.9520879415446697,False,False,2.3126084058204124,max_steps,0.7472936646889171,1.8298790640785554,0.7710056378778545,1.548537295972838,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-47.84594,80,317.172654,False,1.1381912874334157,False,False,2.4768816348465776,max_steps,0.9997292193562197,1.664440919346555,1.1950778532278172,1.4951422050639898,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-4.5592384,80,351.411673,False,0.9721908392229126,False,False,2.156519374446718,max_steps,0.893407219866326,1.8594973033607074,0.893407219866326,1.7899280779396658,80,80,1.0,velocity,post_controller_hold,False,0.0,False
18.116596,1,382.161472,True,0.37086144219281153,False,False,1.5114422027320167,success,0.0,0.0,0.0,1.5114422027320167,1,1,1.0,velocity,post_controller_hold,False,-1.8405797564507762,True
-1.4136467,80,416.567688,False,0.8291471454595934,False,False,2.1016402135373573,max_steps,0.6816352458708038,1.079593996328847,0.6816352458708038,1.8310551189756352,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-5.440268,80,467.594214,False,1.639731851049912,False,False,2.8987943216835075,max_steps,1.409249683311014,2.147867609960924,1.4625635613560235,1.615313280827267,80,80,1.0,velocity,post_controller_hold,False,0.0,False
-125.83478,80,525.312906,False,0.7217617425664018,False,False,1.626906441886461,max_steps,0.6933406492046106,1.9088218773298347,1.1154081735622408,1.4004921780453674,80,80,1.0,velocity,post_controller_hold,False,0.0,True
-60.94972,80,580.934752,False,2.2795029575165575,False,False,3.2646047678602854,max_steps,2.1538685678320566,2.8012543800520895,2.1538685678320566,1.4013615183424093,80,80,1.0,velocity,post_controller_hold,False,0.0,False
