#{"t_start": 1782838894.036608, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,vertical_safety_penalty,low_altitude_guard_active
-2.197362,120,29.519482,False,0.8103259132452046,False,False,2.3092516307848774,max_steps,1.1174219691077971,3.153043184296068,1.1174219691077971,1.5984295336774195,120,120,1.0,simulator_service,service_success,True,0.0,False
-41.165466,120,58.411802,False,3.084611319148301,False,False,3.4682425240434633,max_steps,2.995978931776822,5.717429382983165,2.995978931776822,1.6064280806141427,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-13.500513,120,81.590931,False,0.8499850188592175,False,False,2.3774758930761224,max_steps,0.9497763833204261,3.816911565389492,0.9497763833204261,1.6036578915730086,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-22.162148,120,108.264846,False,2.788082457647459,False,False,3.3831399660333323,max_steps,2.985891371106094,6.427561027381585,2.985891371106094,1.5748796538613108,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-14.219135,120,133.871003,False,0.6226787670996689,False,False,1.9796700603651,max_steps,0.7546185498415329,3.9255170354042894,1.181585763038541,1.608447606964396,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-10.21012,120,165.2979,False,1.2591286865987645,False,False,2.381226377828745,max_steps,1.6454978605309794,3.4862609191587417,1.6454978605309794,1.607600148242224,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-24.2571,120,202.215465,False,1.8066348364765683,False,False,2.661382230133819,max_steps,1.4176397496733115,5.657651971926836,1.446571003396431,1.5677629010983436,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-24.422512,120,242.269111,False,1.9328783862468086,False,False,2.8931890811400116,max_steps,1.6382446415376875,3.937468896163894,1.6382446415376875,1.5979561622291518,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-21.952057,120,276.38028,False,1.7978378740292835,False,False,2.386350077641862,max_steps,1.0559765478105447,6.000533329799654,1.7889523803648646,1.581125194493995,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-26.837877,120,314.642223,False,2.072401989850258,False,False,1.9958970824144793,max_steps,1.9285121739490636,4.80252988388049,1.9285121739490636,1.5873030388069609,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-31.001215,120,355.730098,False,3.261877415009547,False,False,4.49112741828323,max_steps,3.051447446854528,4.609578886577735,3.051447446854528,1.5141078101571719,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-34.877655,120,402.835447,False,4.170029343769807,False,False,2.2991168123657078,max_steps,3.536234061867834,5.712189356006895,3.536234061867834,1.7195228199159043,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-19.25196,120,444.365779,False,1.9741042572573948,False,False,2.011499389699541,max_steps,2.5285322846112357,5.174048651932094,2.5285322846112357,1.7417441516646006,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-17.817457,120,497.494831,False,2.0485160259201005,False,False,3.160146591154645,max_steps,2.477804239936636,4.724511449985191,2.477804239936636,1.7982120313611356,120,120,1.0,velocity,post_controller_hold,False,0.0,False
-81.95982,120,541.476401,False,0.848400446829561,False,False,2.339195400213107,max_steps,1.0961596390400297,5.610012068548118,1.5913290862797036,1.35366875234412,120,120,1.0,velocity,post_controller_hold,False,0.0,False
15.266676,89,594.52655,True,0.31716167226352143,False,False,1.5819614890591347,success,0.806647741745919,2.695520640170562,0.806647741745919,1.5627724112052102,89,89,1.0,velocity,post_controller_hold,False,-0.16034231947435706,False
-45.093674,112,643.403484,False,1.490975244287502,False,True,0.8317609568553257,unsafe_low_altitude,0.9527830467095967,5.3841477669057936,1.7103736127506373,0.8317609568553257,112,112,1.0,velocity,post_controller_hold,False,0.0,False
