#{"t_start": 1782821899.3512254, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted
-16.212967,200,39.014468,False,2.2556510430007233,False,False,3.2498323183157107,max_steps,3.111077406366998,10.958798391411435,3.519505530613918,0.9475934574670625,200,200,1.0,simulator_service,service_success,True
-22.676964,30,53.562541,False,2.439578609388359,False,True,0.4805727479079122,unsafe_low_altitude,1.478916525197628,1.8740681122398297,1.478916525197628,0.4805727479079122,30,30,1.0,velocity,post_controller_hold,False
-24.556324,36,68.31653,False,3.052977571553887,False,True,0.6004984925214643,unsafe_low_altitude,1.5099945650379074,1.8911905362255412,1.5099945650379074,0.6004984925214643,36,36,1.0,velocity,post_controller_hold,False
-17.056555,12,81.958765,False,1.6256857100116553,False,True,0.5557161862253677,unsafe_low_altitude,0.9199367072671557,0.9228757278606872,0.9199367072671557,0.5557161862253677,12,12,1.0,velocity,post_controller_hold,False
-30.260555,42,98.886116,False,2.7179533413416985,False,True,0.5973545974414991,unsafe_low_altitude,0.8227834620389548,1.5089618640103317,0.8227834620389548,0.5973545974414991,42,42,1.0,velocity,post_controller_hold,False
-58.866447,200,135.619006,False,3.8159309801976904,False,False,2.821790187805993,max_steps,5.362430597898129,14.123243729425049,5.362430597898129,0.909705159129888,200,200,1.0,velocity,post_controller_hold,False
-31.254875,200,171.237123,False,2.6901819112889593,False,False,3.0043324513599763,max_steps,4.079530689873816,9.752620730965187,4.106439389613903,0.9911615417625953,200,200,1.0,velocity,post_controller_hold,False
-104.260216,187,208.908895,False,6.054612900028675,True,False,5.169117045383268,out_of_bounds,4.82903547456685,15.232272485168659,4.82903547456685,1.005893990377617,187,187,1.0,velocity,post_controller_hold,False
-17.257313,27,225.537787,False,1.8250185662486582,False,True,0.6528893914811282,unsafe_low_altitude,0.41350921693428033,0.715723787992952,0.41350921693428033,0.6528893914811282,27,27,1.0,velocity,post_controller_hold,False
-27.531254,46,250.952604,False,2.257272761407394,False,True,0.19125877763648436,unsafe_low_altitude,2.0949700748885367,2.912290199908528,2.0949700748885367,0.19125877763648436,46,46,1.0,velocity,post_controller_hold,False
-36.39498,93,281.166958,False,1.0871461587821094,False,True,0.49121342137299573,unsafe_low_altitude,1.408244283080303,3.0025108764390365,1.408244283080303,0.49121342137299573,93,93,1.0,velocity,post_controller_hold,False
-17.328566,22,301.987756,False,1.6832268229305614,False,True,0.7246031753580988,unsafe_low_altitude,0.5532750203036051,0.6089263117738716,0.5532750203036051,0.7246031753580988,22,22,1.0,velocity,post_controller_hold,False
-86.66167,200,346.995073,False,5.115136650216599,False,False,3.2559783841707515,max_steps,3.5573827610566475,12.502747282836136,3.5573827610566475,0.8454734103789446,200,200,1.0,velocity,post_controller_hold,False
-25.69578,24,374.277299,False,1.6361691395506754,False,True,0.47128036331651646,unsafe_low_altitude,0.9009034866641693,1.0657791838007817,0.9009034866641693,0.47128036331651646,24,24,1.0,velocity,post_controller_hold,False
-23.239681,45,405.000279,False,3.297050777835213,False,True,0.5705293994759114,unsafe_low_altitude,1.3856103367373593,2.162741851823764,1.3856103367373593,0.5705293994759114,45,45,1.0,velocity,post_controller_hold,False
-27.096298,28,431.170326,False,2.993838383121478,False,True,0.46140193455591183,unsafe_low_altitude,1.0396306249664609,1.0885385433415078,1.0396306249664609,0.46140193455591183,28,28,1.0,velocity,post_controller_hold,False
-16.157583,30,460.871639,False,2.4368077484855344,False,True,0.5925907886411791,unsafe_low_altitude,0.9073397857509831,1.3506066355180626,0.9073397857509831,0.5925907886411791,30,30,1.0,velocity,post_controller_hold,False
