#{"t_start": 1782853027.8823917, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.718549,80,25.925018,False,0.5127275732884287,False,False,2.0780644757811726,max_steps,0.5716260003161214,1.7103676623433222,0.5716260003161214,1.602220380908962,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-9.294706,80,47.95769,False,1.2035739448994316,False,False,2.5169870607729345,max_steps,0.9013252530249596,2.3347560563993897,0.9013252530249596,1.6612634360677414,80,80,1.0,velocity,post_controller_hold,False,,0.0743,0.3681,not_attempted,0.0,False
-13.156765,80,71.506101,False,1.6068705768499765,False,False,2.2699729739457344,max_steps,1.528150070813284,3.5309517248384137,1.528150070813284,1.6915801656813556,80,80,1.0,velocity,post_controller_hold,False,,0.0951,1.1798,not_attempted,0.0,False
16.119457,60,89.141559,True,0.37932773685276894,False,False,1.8604960341586765,success,0.374455976638941,1.3918105994946184,0.47077490226503527,1.6034636525595087,60,60,1.0,velocity,post_controller_hold,False,,0.0861,0.3683,not_attempted,0.0,False
-19.488024,80,116.575188,False,1.071041059272571,False,False,2.6358708898794236,max_steps,1.2052773228101739,2.72346575594556,1.375939311784285,1.5699567220873454,80,80,1.0,velocity,post_controller_hold,False,,0.0915,1.0303,not_attempted,0.0,False
-18.3858,80,143.968092,False,1.479994749404524,False,False,2.943539320101409,max_steps,1.7592784196407458,2.940812904760119,1.7592784196407458,1.5614283706106382,80,80,1.0,velocity,post_controller_hold,False,,0.1414,0.2547,not_attempted,0.0,False
-8.028239,80,172.011672,False,1.303983815999008,False,False,2.821459337770557,max_steps,1.2805063672505108,4.452326359695835,1.2805063672505108,1.6447456946083032,80,80,1.0,velocity,post_controller_hold,False,,0.2138,2.7487,not_attempted,0.0,False
-7.369418,80,198.648987,False,0.6306779749891209,False,False,1.9531739441185398,max_steps,0.7590734631810362,1.2693821868420332,0.7590734631810362,1.588207300994512,80,80,1.0,velocity,post_controller_hold,False,,0.2394,0.2883,not_attempted,0.0,False
-10.521928,80,233.016808,False,1.313171480555089,False,False,2.6855453394491757,max_steps,1.4639582329885905,3.0241447430694706,1.6904899014814778,1.6219740332269719,80,80,1.0,velocity,post_controller_hold,False,,0.0669,1.0511,not_attempted,0.0,False
-12.454894,80,271.241093,False,1.5756353368403206,False,False,2.3020042204646276,max_steps,1.104826691912944,1.8198050530642684,1.104826691912944,1.7052954321051954,80,80,1.0,velocity,post_controller_hold,False,,0.1569,0.6674,not_attempted,0.0,False
-16.907347,80,306.407885,False,1.9602810412350513,False,False,2.9524678172938046,max_steps,1.802588703292697,3.8272466352108045,1.802588703292697,1.5898123794314003,80,80,1.0,velocity,post_controller_hold,False,,0.1679,2.9471,not_attempted,0.0,False
19.812395,5,337.052502,True,0.39223301613126754,False,False,1.752573287562891,success,0.16080880077112797,0.16080880077112797,0.16080880077112797,1.6343724042094452,5,5,1.0,velocity,post_controller_hold,False,,0.0834,2.0004,not_attempted,0.0,True
-14.20666,80,378.459514,False,1.7829716600776657,False,False,1.9718950460306874,max_steps,1.5464842523782614,2.670380129898009,1.5464842523782614,1.6310694705243363,80,80,1.0,velocity,post_controller_hold,False,,0.1594,1.3741,not_attempted,0.0,False
-14.623022,80,427.850943,False,1.4277249463543127,False,False,1.812156276957785,max_steps,0.9460739520099206,3.5512697281236316,1.4549198131183185,1.5799378196668885,80,80,1.0,velocity,post_controller_hold,False,,0.1636,2.0648,not_attempted,0.0,False
-9.794455,80,474.486959,False,1.3866646431459506,False,False,2.494759243226473,max_steps,1.763070755291887,2.3435471515637794,1.763070755291887,1.5932066738308985,80,80,1.0,velocity,post_controller_hold,False,,0.0547,0.5574,not_attempted,0.0,False
-19.34377,80,521.263672,False,1.3149146149655224,False,False,2.9057515896768993,max_steps,1.435235153253277,2.736397668950265,1.8309633056685541,1.5778290629617227,80,80,1.0,velocity,post_controller_hold,False,,0.1885,0.8408,not_attempted,0.0,False
-22.418098,80,572.181301,False,0.833262091474517,False,False,2.2850760724542165,max_steps,1.062533101099992,2.932958521533015,1.062533101099992,1.5693306866860695,80,80,1.0,velocity,post_controller_hold,False,,0.1456,2.8803,not_attempted,0.0,False
-13.992159,80,669.82601,False,2.1379014850000293,False,False,3.6949022046909414,max_steps,2.136184728639575,3.1312329665803773,2.136184728639575,1.6060016861086093,80,80,1.0,velocity,post_controller_hold,False,,0.1688,1.8519,not_attempted,0.0,False
-37.28019,79,786.329314,False,2.794522194836156,False,True,1.0818578626512696,unsafe_low_altitude,2.3874965763509897,4.007531355527963,2.3874965763509897,1.0818578626512696,79,79,1.0,velocity,post_controller_hold,False,,0.098,2.1418,not_attempted,0.0,False
