#{"t_start": 1783117055.9462988, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
12.277843,70,34.001642,True,0.3924635750650599,False,False,2.2367161568448872,success,True,0.02780121506848809,0.2780121506848809,1.40771893660907,4.09642658467119,1.4986245776938614,1.3679584294787468,70,70,1.0,0.34475225712922963,0.9872837940554829,0.2496094009692409,0.5871264713494728,0.02568403072655201,-0.013660554774105549,-0.11147383600473404,0.06776896864175797,simulator_service,service_success,True,,0.0815,1.1168,service_success,0.0,False
-21.389503,11,40.224406,False,4.911541378196071,True,False,2.50213659761123,out_of_bounds,True,0.5225963150139369,0.0,1.3319082024584934,1.5558666866923374,1.3319082024584934,1.7722365276058367,11,11,1.0,1.3704631302486079,1.6330268267843904,0.6609815064532985,0.7071067811865476,-0.21508528292179108,0.5,0.5,-0.34550154209136963,velocity,post_controller_hold,False,,0.2298,1.5648,not_attempted,0.0,False
-18.794502,7,45.582504,False,5.461275522576167,True,False,2.5193633369096426,out_of_bounds,True,0.7146278764350886,0.0,0.914159327985514,0.9186478112118629,0.914159327985514,1.9714159954477997,7,7,1.0,1.1211675465305462,1.1291834238762728,0.7071067811865477,0.7071067811865476,-0.5,-0.5,0.5,-0.7205988764762878,simulator_service,service_success,True,,0.0177,0.0006,service_success,0.0,False
-30.431847,20,53.712815,False,7.3490969580243775,True,False,2.3684518759153566,out_of_bounds,True,0.1533032547461199,0.0,1.8667158268027488,2.60407068084276,1.8667158268027488,1.1129862879686094,20,20,1.0,0.9530306890454945,1.1351977661977846,0.5541434838879915,0.7071067811865476,-0.5,-0.5,0.5,0.7339441180229187,simulator_service,service_success,True,,0.0194,0.0,service_success,0.0,False
-18.901186,25,63.020128,False,1.5990271910206728,True,False,2.527939653743106,out_of_bounds,True,0.5009469178346747,0.0,0.5003615238987473,2.85056973705982,0.7769363674298024,2.0110976134493943,25,25,1.0,0.9417236254868613,1.657596479148048,0.5313745761774397,0.7071067811865476,0.06195409968495369,0.3003960847854614,0.36749258637428284,0.024406341835856438,simulator_service,service_success,True,,0.0191,0.0,service_success,0.0,False
-20.253517,7,68.528503,False,7.4284352297167295,True,False,2.500830726966324,out_of_bounds,True,0.9741188955576519,0.0,0.726049753063807,0.8127188766667156,0.726049753063807,1.9981465925437738,7,7,1.0,1.442389379664218,1.7609704530555244,0.62374381937397,0.7071067811865476,0.5,-0.02937229536473751,0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0171,0.0,service_success,0.0,False
-35.26923,36,80.085088,False,5.401114954222916,True,False,2.52851874340851,out_of_bounds,True,0.9397053047448225,0.0,1.0717403464859798,5.566016126327007,2.1544011189276353,1.1948982716279322,36,36,1.0,1.4640161684176904,1.793711581496792,0.7045582086077944,0.7071067811865476,-0.5,0.5,0.3744596242904663,-1.1845309734344482,simulator_service,service_success,True,,0.0146,0.0,service_success,0.0,False
5.6933765,87,106.656811,True,0.3990745655044877,False,False,1.7545638631438332,success,True,0.101810631814661,1.0181063181466101,1.303568494635381,7.581258800025488,1.7448498487996333,1.1392240833682319,87,87,1.0,0.5692986521601805,1.1194640672869256,0.3720571108220608,0.7071067811865476,-0.14506478607654572,-0.029048528522253036,-0.10348417609930038,0.18928590416908264,simulator_service,service_success,True,,0.0155,0.0004,service_success,0.0,False
-22.491858,11,113.172892,False,6.7813805716556255,True,False,2.3238996778561862,out_of_bounds,True,0.6272113234243198,0.0,1.408102040032192,1.5330718678554232,1.408102040032192,1.5745841341100815,11,11,1.0,1.1598453041122083,1.7668401797131477,0.6775834041052166,0.7071067811865476,-0.38665544986724854,-0.5,-0.5,1.5707963705062866,velocity,post_controller_hold,False,,0.1434,2.3456,not_attempted,0.0,False
-49.137146,36,125.000504,False,8.116615748657248,True,False,2.531757880557648,out_of_bounds,True,0.8083647284854711,0.0,1.4527687176433943,5.137392715707726,1.4527687176433943,1.0901008363357754,36,36,1.0,1.4629916077881697,1.793711581496792,0.6659008564838556,0.7071067811865476,-0.5,-0.5,0.5,-0.7030197978019714,simulator_service,service_success,True,,0.0133,0.0047,service_success,0.0,False
