#{"t_start": 1782475906.8576906, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,terminal_reason
-23.67642,200,42.736772,False,2.2443985741668353,False,max_steps
-42.079784,200,74.127882,False,1.7090049247432286,False,max_steps
-34.408577,200,105.605229,False,2.730068729385181,False,max_steps
-54.790676,200,138.189712,False,2.2219274496401633,False,max_steps
-36.044033,200,171.087317,False,1.1612907681190519,False,max_steps
-72.70569,200,204.650161,False,3.7559398579284338,False,max_steps
-66.65002,200,245.173929,False,5.174952148210643,False,max_steps
-91.807205,200,284.417435,False,4.403257919689211,False,max_steps
-70.33208,200,318.877391,False,2.8863719076136336,False,max_steps
-64.51444,200,356.925938,False,2.411247926418401,False,max_steps
-78.97043,129,393.744495,False,7.3249752133104336,True,out_of_bounds
-45.723976,200,431.222971,False,1.3770811334110014,False,max_steps
-86.35372,200,475.902768,False,3.77060840864736,False,max_steps
-65.00256,200,515.899804,False,2.7912439894603853,False,max_steps
-46.740887,200,554.23474,False,2.1193071523615363,False,max_steps
-86.944016,200,594.581437,False,3.7957907247828113,False,max_steps
-64.4879,200,637.039015,False,3.5151058682883045,False,max_steps
-95.49154,200,686.146099,False,5.380557644479274,False,max_steps
-75.81523,155,728.004134,False,5.582377112143371,True,out_of_bounds
-56.403133,200,774.100888,False,2.078006474422393,False,max_steps
