#{"t_start": 1782904360.81514, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.7832184,80,23.580738,False,0.5156693376142201,False,False,2.0804278190450565,max_steps,0.5721581162419668,1.7143133312922267,0.5733961266967755,1.6021027840414082,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
19.964745,1,33.834224,True,0.30714058001918976,False,False,1.6389833267355625,success,0.0018581045612748284,0.0018581045612748284,0.0018581045612748284,1.6387569748658908,1,1,1.0,velocity,post_controller_hold,False,,0.1994,0.2235,not_attempted,0.0,False
-7.160002,80,55.111898,False,1.0119758196141277,False,False,2.475462685534946,max_steps,0.8501222011284164,1.6308187643323144,0.8501222011284164,1.6312143060344855,80,80,1.0,velocity,post_controller_hold,False,,0.1224,0.1321,not_attempted,0.0,False
19.891825,1,67.994217,True,0.34490759291127954,False,False,1.5965825341432298,success,0.0,0.0,0.0,1.5965825341432298,1,1,1.0,velocity,post_controller_hold,False,,0.1831,0.7989,not_attempted,-0.06834931713540549,False
19.789806,1,85.529317,True,0.301270757698551,False,False,1.5912297316757336,success,0.0,0.0,0.0,1.5912297316757336,1,1,1.0,velocity,post_controller_hold,False,,0.22,1.0781,not_attempted,-0.17540536648533056,False
15.875273,18,108.831004,True,0.36902422850061456,False,False,1.9462987492533976,success,0.5526531306087775,0.6224122101111649,0.5526531306087775,1.5805702466973364,18,18,1.0,velocity,post_controller_hold,False,,0.0452,1.2058,not_attempted,0.0,True
-11.757702,80,141.426856,False,1.5124486778474249,False,False,1.8380468968353876,max_steps,1.043963174866271,2.444534888146001,1.043963174866271,1.6532927954695047,80,80,1.0,velocity,post_controller_hold,False,,0.0692,0.8324,not_attempted,0.0,False
-12.427228,80,174.336439,False,2.270196371343057,False,False,2.50392529829398,max_steps,1.6520582023403014,3.891908206303524,1.6520582023403014,1.6528966159285097,80,80,1.0,velocity,post_controller_hold,False,,0.1791,1.2266,not_attempted,0.0,False
-9.788882,80,218.22557,False,1.527124234618678,False,False,2.6650882325930314,max_steps,1.512531141988055,3.0009066862703913,1.512531141988055,1.6065355670954315,80,80,1.0,velocity,post_controller_hold,False,,0.2199,1.3994,not_attempted,0.0,False
19.990824,3,252.554359,True,0.3729585575393566,False,False,1.7525787882377637,success,0.12720591586251026,0.12720591586251026,0.12720591586251026,1.731724193093387,3,3,1.0,velocity,post_controller_hold,False,,0.2034,1.2722,not_attempted,0.0,False
-11.300264,80,295.237658,False,1.4906354077308295,False,False,3.0275249822691785,max_steps,1.6109549638326017,3.4794867410824395,1.7193820427322632,1.7145973272270847,80,80,1.0,velocity,post_controller_hold,False,,0.1747,2.2692,not_attempted,0.0,False
19.957956,1,342.921892,True,0.36411532899936633,False,False,1.657348247205468,success,0.0,0.0,0.0,1.657348247205468,1,1,1.0,velocity,post_controller_hold,False,,0.1877,0.5948,not_attempted,0.0,True
19.68478,6,386.40118,True,0.2926066516990814,False,False,1.8058962026023468,success,0.27168449551360296,0.27168449551360296,0.27168449551360296,1.645982929497568,6,6,1.0,velocity,post_controller_hold,False,,0.1872,1.564,not_attempted,0.0,True
-19.32646,80,443.347332,False,1.7996558269652165,False,False,2.506636436450977,max_steps,2.0041123272790022,3.4237076122498262,2.0041123272790022,1.5738052490530645,80,80,1.0,velocity,post_controller_hold,False,,0.0436,2.3559,not_attempted,0.0,False
