#{"t_start": 1782848074.2226686, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.790754,80,25.280633,False,0.5183860822398598,False,False,2.083657425594544,max_steps,0.5780303044604793,1.7265881789258282,0.5790476006356632,1.5989766651158535,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-5.6454115,80,45.380919,False,0.8912614087908184,False,False,2.3608614166781647,max_steps,0.7414239935713911,1.4070249823634575,0.7414239935713911,1.6258178392832647,80,80,1.0,velocity,post_controller_hold,False,,0.045,0.0262,not_attempted,0.0,False
-5.0523963,80,65.130423,False,0.4594036413488108,False,False,1.8681127795613914,max_steps,0.47278064129303704,1.5650566466157096,0.6965429383124683,1.6236650732433184,80,80,1.0,velocity,post_controller_hold,False,,0.0769,0.0108,not_attempted,0.0,False
-7.0597105,80,89.485808,False,0.6997130974093467,False,False,2.176876696434841,max_steps,0.6251062414083417,2.2268109381742303,0.7732339054584388,1.610201931603818,80,80,1.0,velocity,post_controller_hold,False,,0.0999,0.0346,not_attempted,0.0,False
-5.3859634,80,115.960567,False,0.7192755871185077,False,False,2.2793403575937994,max_steps,0.9736187970231721,1.7527206876543295,0.9736187970231721,1.629534427555453,80,80,1.0,velocity,post_controller_hold,False,,0.0297,0.0194,not_attempted,0.0,False
-7.3429513,80,136.973512,False,0.8510111911790309,False,False,1.9717352386567784,max_steps,1.2998731099445207,3.117382048223256,1.3708687733807916,1.6002052918446223,80,80,1.0,velocity,post_controller_hold,False,,0.1465,0.0692,not_attempted,0.0,False
-9.728151,80,171.984335,False,1.2545319366176213,False,False,2.726334027846342,max_steps,1.359036433965785,2.497790424445198,1.359036433965785,1.5953942148449438,80,80,1.0,velocity,post_controller_hold,False,,0.0083,0.0526,not_attempted,0.0,False
19.984959,1,197.650934,True,0.3783974958365082,False,False,1.6193746255313666,success,0.024615854172899156,0.024615854172899156,0.024615854172899156,1.6033552933966095,1,1,1.0,velocity,post_controller_hold,False,,0.1246,0.0336,not_attempted,0.0,True
-6.4978695,80,230.640692,False,1.0362197941102387,False,False,1.8113295847375996,max_steps,1.4003644277165437,2.489146894640419,1.4003644277165437,1.6501492620600817,80,80,1.0,velocity,post_controller_hold,False,,0.0503,0.005,not_attempted,0.0,True
-10.9259205,80,263.037426,False,1.2399426488439615,False,False,2.6083213626564157,max_steps,0.9497576326246262,2.0996508807522263,1.029974548810393,1.6915082389066203,80,80,1.0,velocity,post_controller_hold,False,,0.1001,0.0024,not_attempted,0.0,False
-15.6123495,80,299.521088,False,1.3791027013807264,False,False,2.5781118131335714,max_steps,1.0847979545365034,2.2951983381843797,1.2512567597108568,1.582339211449363,80,80,1.0,velocity,post_controller_hold,False,,0.0864,0.1286,not_attempted,0.0,False
-13.303448,80,337.096401,False,1.7291614694958224,False,False,2.9097520014222193,max_steps,1.4607713599522751,1.7995192945504241,1.4607713599522751,1.603589034336278,80,80,1.0,velocity,post_controller_hold,False,,0.0313,0.0107,not_attempted,0.0,False
-14.649021,80,375.048826,False,1.7895754441436873,False,False,2.8230718356474767,max_steps,1.4772252269978265,2.4927776591459683,1.4772252269978265,1.585043587297399,80,80,1.0,velocity,post_controller_hold,False,,0.1098,0.0212,not_attempted,0.0,False
-10.054187,80,420.493356,False,1.3396974571161642,False,False,2.1026876467017437,max_steps,0.8879065006564548,2.8088849515621352,0.9232164689547143,1.60691204736005,80,80,1.0,velocity,post_controller_hold,False,,0.1826,0.104,not_attempted,0.0,False
-5.8784976,80,465.000967,False,0.85872383360225,False,False,1.9030249249634248,max_steps,1.0511439320362532,1.6703434314558754,1.0511439320362532,1.6105894403135927,80,80,1.0,velocity,post_controller_hold,False,,0.1881,0.1787,not_attempted,0.0,False
-10.1807375,80,513.812745,False,1.1054553658587392,False,False,2.488101201881217,max_steps,1.1892061255893933,1.9066782269583147,1.1892061255893933,1.6960442361101236,80,80,1.0,velocity,post_controller_hold,False,,0.1331,0.0653,not_attempted,0.0,False
