#{"t_start": 1782846214.6647968, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.8771253,80,24.130307,False,0.5078114148957278,False,False,2.073131532692089,max_steps,0.5681045855722207,1.6720703111450201,0.5787960288031964,1.6019011227413855,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-5.584067,80,44.1231,False,0.8580732210310819,False,False,2.3024363744767644,max_steps,0.676296092152693,1.364544028111897,0.676296092152693,1.627732025162188,80,80,1.0,velocity,post_controller_hold,False,,0.0489,0.0304,not_attempted,0.0,False
-4.985907,80,63.871361,False,0.45363190777300383,False,False,1.8629614511295962,max_steps,0.48399045723544126,1.5716949542766367,0.7017991370945433,1.620397448912887,80,80,1.0,velocity,post_controller_hold,False,,0.0729,0.0075,not_attempted,0.0,False
-6.9106765,80,86.444807,False,0.6993310828107527,False,False,2.1786631984432017,max_steps,0.6264071687229386,2.2231089539996685,0.7689417623851155,1.6107771503343387,80,80,1.0,velocity,post_controller_hold,False,,0.1028,0.0348,not_attempted,0.0,False
-6.2829566,80,110.935253,False,0.8175234046346701,False,False,2.3784887700774955,max_steps,0.9865138695986462,1.8941193886690608,0.9865138695986462,1.7494582959152194,80,80,1.0,velocity,post_controller_hold,False,,0.1502,0.0112,not_attempted,0.0,False
-7.243637,80,132.899857,False,0.841344682160209,False,False,1.9731327463000858,max_steps,1.3217154835951956,3.1232656390445914,1.3786976906653032,1.6001071460220273,80,80,1.0,velocity,post_controller_hold,False,,0.1498,0.0517,not_attempted,0.0,False
19.401632,1,149.462675,True,0.3274043791126584,False,False,1.571971894089272,success,0.0,0.0,0.0,1.571971894089272,1,1,1.0,velocity,post_controller_hold,False,,0.1923,0.2938,not_attempted,-0.5605621182145626,False
-35.982357,80,178.555593,False,0.6455039817192945,False,False,2.090023728708391,max_steps,0.6202137189379177,1.4529365478094602,0.6720412210541982,1.4873145911318217,80,80,1.0,velocity,post_controller_hold,False,,0.1162,0.0433,not_attempted,0.0,False
-5.71289,80,207.584966,False,0.7070367677142823,False,False,1.7581784224270993,max_steps,1.1519801394778808,1.6724398981920585,1.1519801394778808,1.5871879497749382,80,80,1.0,velocity,post_controller_hold,False,,0.1875,0.0731,not_attempted,0.0,False
-10.989691,80,238.501049,False,1.2415846100554488,False,False,2.345435930833159,max_steps,0.8491234673790945,1.9467325531702824,0.9668961741732806,1.6055248167700689,80,80,1.0,velocity,post_controller_hold,False,,0.1053,0.026,not_attempted,0.0,False
19.90558,1,259.617529,True,0.30421567600896743,False,False,1.597035398547677,success,0.0,0.0,0.0,1.597035398547677,1,1,1.0,velocity,post_controller_hold,False,,0.1996,0.056,not_attempted,-0.05929202904646048,False
-11.952951,80,293.558795,False,1.2145917827468222,False,False,2.1721050702025866,max_steps,0.7362506241315098,1.9615582672466332,1.0243822174377772,1.6408056242791766,80,80,1.0,velocity,post_controller_hold,False,,0.1428,0.0609,not_attempted,0.0,False
19.276464,1,319.511998,True,0.3735147605002693,False,False,1.565979743525761,success,0.0,0.0,0.0,1.565979743525761,1,1,1.0,velocity,post_controller_hold,False,,0.1325,0.0384,not_attempted,-0.6804051294847824,False
-15.243631,80,365.220535,False,1.2534982013233664,False,False,2.4635997633898805,max_steps,0.9321392951565385,1.733923272973703,1.172549358557978,1.5831766028572787,80,80,1.0,velocity,post_controller_hold,False,,0.2242,0.066,not_attempted,0.0,False
-15.885321,80,411.205271,False,1.8153412577595565,False,False,3.1280706628205324,max_steps,1.5551283309922599,2.0045446326453646,1.5551283309922599,1.6663054590100792,80,80,1.0,velocity,post_controller_hold,False,,0.0686,0.0096,not_attempted,0.0,False
-17.386253,80,453.691864,False,1.2311361548066309,False,False,1.9304036323681384,max_steps,0.8013607260246111,1.7943266573200702,0.8013607260246111,1.553151778546268,80,80,1.0,velocity,post_controller_hold,False,,0.0989,0.0739,not_attempted,0.0,False
-12.479324,80,502.930738,False,1.632736410023656,False,False,3.17855915037628,max_steps,1.5544424704961834,3.0958678452189465,1.7746908530827954,1.6241895745609205,80,80,1.0,velocity,post_controller_hold,False,,0.0807,0.2968,not_attempted,0.0,False
-5.7201266,80,556.639729,False,0.8259141771745258,False,False,2.361809878229441,max_steps,0.8267479767406068,1.7658436379755211,1.0184787459064732,1.744488972080172,80,80,1.0,velocity,post_controller_hold,False,,0.1562,0.0383,not_attempted,0.0,False
