#{"t_start": 1782648662.8525894, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason
-17.736435,200,42.238693,False,2.2526995599955724,False,False,3.248878465318523,max_steps
-20.680847,26,54.402738,False,2.4476514569269985,False,True,0.652542610129951,unsafe_low_altitude
-26.554401,39,71.199466,False,3.025516001242424,False,True,0.5101751398911262,unsafe_low_altitude
-16.946585,12,85.96741,False,1.634660900742474,False,True,0.5006434557851612,unsafe_low_altitude
-23.08604,33,101.424765,False,2.078625997075372,False,True,0.6209392738874301,unsafe_low_altitude
-53.706165,200,138.83278,False,2.6633837924337582,False,False,2.4497133645881424,max_steps
-41.482796,200,177.030982,False,2.3009316971384965,False,False,2.0046625903470523,max_steps
-17.710287,12,196.380693,False,2.094449275003102,False,True,0.6482114950472234,unsafe_low_altitude
-81.155014,200,233.436078,False,3.6590537423605327,False,False,1.7720399948717576,max_steps
-28.323532,58,260.509027,False,2.0943354969941352,False,True,0.3722711139888615,unsafe_low_altitude
-32.21373,92,290.961685,False,1.2033623969374259,False,True,0.5189228074812338,unsafe_low_altitude
-67.20665,200,332.889739,False,3.876786739281885,False,False,2.0192501558455045,max_steps
-30.401617,40,358.984979,False,3.1549524808506546,False,True,0.6861392519503426,unsafe_low_altitude
-14.885752,42,386.021955,False,1.9876917462832469,False,True,0.33866142522521303,unsafe_low_altitude
-51.524185,65,420.94869,False,4.335601991697204,False,True,0.5772587485841422,unsafe_low_altitude
-14.294806,28,455.574196,False,1.567433433887755,False,True,0.747452695892971,unsafe_low_altitude
-28.15177,112,500.460859,False,0.6406619900510518,False,True,0.6828224275462849,unsafe_low_altitude
-43.585957,200,556.41761,False,1.5956384052746768,False,False,2.271757015337889,max_steps
