#{"t_start": 1783271078.4855707, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active,bounds_guard_active
11.355829,7,20.404996,True,0.35719549098538317,False,False,1.670260821986412,success,True,0.8006730580363418,8.006730580363419,1.0635611226981871,1.0723631943161385,1.0635611226981871,1.0675633127723538,7,7,1.0,1.793711581496792,1.793711581496792,0.7071067811865477,0.7071067811865476,0.5,0.5,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.1102,1.446,service_success,0.0,False,True
-15.951296,8,22.858786,False,1.609052598566628,True,False,0.0,out_of_bounds,True,0.932665036555239,0.0,2.7727213965842825,0.8878198551749006,0.7013101669233689,1.158019541114945,7,7,1.0,1.793711581496792,1.793711581496792,0.7071067811865477,0.7071067811865476,0.5,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.1137,0.7123,service_success,0.0,False,False
-15.51806,2,26.824671,False,3.2601114107597393,True,False,2.7590268040495727,out_of_bounds,True,0.29046439481559544,0.0,1.993405561219644,0.03384942909301522,0.03384942909301522,1.575577284120244,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,-0.5,0.5,-1.5707963705062866,velocity,post_controller_hold,False,,0.1682,1.6001,not_attempted,0.0,False,False
-15.413227,2,30.867004,False,2.7066018982999553,True,False,0.0,out_of_bounds,True,0.9879578987254753,0.0,1.8550343197072436,0.03497816989494928,0.03497816989494928,1.0741331934444498,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0235,0.0036,service_success,0.0,False,False
-15.47438,2,34.956268,False,2.332083953285385,True,False,3.6974816531419386,out_of_bounds,True,0.8836485685761504,0.0,3.348269008711539,0.012825671354781375,0.012825671354781375,1.7451899315521053,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,0.5,0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0198,0.0,service_success,0.0,False,False
-15.149186,2,39.093256,False,3.000115056309879,True,False,3.291134315250247,out_of_bounds,True,0.9124550427078456,0.0,3.3655629167532193,0.01570474367793223,0.01570474367793223,1.3284371958088406,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,0.5,0.5,1.5707963705062866,simulator_service,service_success,True,,0.0201,0.0001,service_success,0.0,False,False
-15.118853,2,43.164182,False,2.094299029625715,True,False,0.0,out_of_bounds,True,0.5558027599506675,0.0,3.0996215999780135,0.016010810277085438,0.016010810277085438,1.8047826922608854,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0191,0.0,service_success,0.0,False,False
-15.5491705,2,47.293998,False,2.638093309036581,True,False,3.5219740395437262,out_of_bounds,True,0.5540782912701084,0.0,3.346113821163823,0.01621957437915161,0.01621957437915161,1.5699576804431448,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,0.5,0.5,1.5707963705062866,simulator_service,service_success,True,,0.0177,0.0001,service_success,0.0,False,False
-15.4460535,2,51.47797,False,2.423327442664048,True,False,0.0,out_of_bounds,True,0.1594155761690511,0.0,2.8088594448542215,0.007573727681218778,0.007573727681218778,1.6474629093039141,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0217,0.0002,service_success,0.0,False,False
-15.367647,2,55.605202,False,2.3652154349573835,True,False,0.0,out_of_bounds,True,0.9716066734529054,0.0,2.7196863143203127,0.01471400634073602,0.01471400634073602,1.5864027217959968,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0188,0.0,service_success,0.0,False,False
-15.13277,2,59.819935,False,1.4403501860808554,True,False,0.0,out_of_bounds,True,0.8359188591360247,0.0,1.697684744437868,0.0035436331515122307,0.0035436331515122307,1.016904938311342,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,-0.5,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.0184,0.0039,service_success,0.0,False,False
-15.311758,2,64.031996,False,3.483495892227693,True,False,3.8322753623783603,out_of_bounds,True,0.13327597056019413,0.0,3.4611220405757166,0.012752456659759374,0.012752456659759374,1.8137126017683969,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,0.5,0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0196,0.0007,service_success,0.0,False,False
-15.533746,2,68.221056,False,3.5040054836589603,True,False,0.0,out_of_bounds,True,0.0800868717880378,0.0,2.1631065293621514,0.002006864809466484,0.002006864809466484,1.2809732547607218,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0185,0.0001,service_success,0.0,False,False
-15.454258,2,72.450068,False,3.0098419533092513,True,False,3.6510620127199735,out_of_bounds,True,0.9964251753641201,0.0,3.4338824726606485,0.005554269264454831,0.005554269264454831,1.6481478290269054,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,0.5,0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0171,0.0001,service_success,0.0,False,False
-15.364432,2,76.741192,False,2.1310502161175022,True,False,0.0,out_of_bounds,True,0.03753527223043145,0.0,2.4255001029848438,0.001204623053261112,0.001204623053261112,1.4343343357643408,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0191,0.0049,service_success,0.0,False,False
-15.249029,2,81.038102,False,1.945110565231705,True,False,0.0,out_of_bounds,True,0.052225810647439024,0.0,1.8842365278251265,0.0016236174377848864,0.0016236174377848864,1.351595832492783,1,1,1.0,1.7226361770879686,1.7226361770879686,0.500074155517487,0.500074155517487,0.008611679077148438,0.5,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.0169,0.0001,service_success,0.0,False,False
-15.400553,2,85.325015,False,2.511107906082495,True,False,0.0,out_of_bounds,True,0.8007706078725336,0.0,1.8230207952759838,0.0012470950564299605,0.0012470950564299605,1.0875326760099142,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0171,0.0115,service_success,0.0,False,False
-15.437884,2,89.65596,False,1.853894712913248,True,False,0.0,out_of_bounds,True,0.8558003197387899,0.0,3.3001149166663954,0.0022421917516661743,0.0022421917516661743,1.9334937477922733,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.017,0.0001,service_success,0.0,False,False
-15.550177,2,94.150033,False,2.8917427151020187,True,False,0.0,out_of_bounds,True,0.2993054477153063,0.0,2.9751275628071614,0.0011885903578803534,0.0011885903578803534,1.7493754239988784,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,-0.5,-0.5,-1.5707963705062866,simulator_service,service_success,True,,0.0162,0.0015,service_success,0.0,False,False
-15.280751,2,98.618211,False,4.866924353666039,True,False,4.014481298621986,out_of_bounds,True,0.2083842714980441,0.0,3.672953862456188,0.001983425513973689,0.001983425513973689,1.872679471312409,1,1,1.0,1.3765879009328228,1.3765879009328228,0.7071067811865476,0.7071067811865476,-0.5,0.5,0.5,-1.0700440406799316,simulator_service,service_success,True,,0.0155,0.002,service_success,0.0,False,False
-15.331713,2,103.266068,False,2.189701670815756,True,False,0.0,out_of_bounds,True,0.8409262781917817,0.0,1.7286973437814548,0.0012582131638644732,0.0012582131638644732,1.0373553662817045,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,0.5,-0.5,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.0113,0.0045,service_success,0.0,False,False
-15.209946,2,107.78025,False,1.5503827417143343,True,False,0.0,out_of_bounds,True,0.2219880291851966,0.0,2.656020882076607,0.005049616635712564,0.005049616635712564,1.560711759221517,1,1,1.0,1.793711581496792,1.793711581496792,0.7071067811865476,0.7071067811865476,-0.5,0.5,-0.5,1.5707963705062866,simulator_service,service_success,True,,0.0127,0.0001,service_success,0.0,False,False
