#{"t_start": 1783087593.4002008, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
20.243494,2,12.897892,True,0.32432835010914196,False,False,1.4875945474461056,success,True,0.12337587165841914,0.1233970651813923,0.12337587165841914,1.4875945474461056,2,2,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,simulator_service,service_success,True,,0.1116,0.0,service_success,0.0,False
20.007692,1,19.915864,True,0.38834378381438966,False,False,1.5214182718205933,success,True,0.0017574991327604886,0.0017574991327604886,0.0017574991327604886,1.5214182718205933,1,1,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,velocity,post_controller_hold,False,,0.1414,0.0,not_attempted,0.0,False
