#{"t_start": 1782856934.7678194, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.750221,80,26.269569,False,0.5133843506218568,False,False,2.0781723055347974,max_steps,0.5705732508195702,1.7210155233830187,0.5747833957694097,1.6022763435960714,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-9.80591,80,46.385279,False,1.0181439365769933,False,False,2.189183813472626,max_steps,0.6895642480510774,1.7092566402619258,0.700786739287221,1.5825423480110858,80,80,1.0,velocity,post_controller_hold,False,,0.062,0.3271,not_attempted,0.0,False
-9.954077,80,67.748528,False,1.1793964751276567,False,False,1.7858435196137583,max_steps,1.189152744793975,3.077738361865742,1.189152744793975,1.5987042137705916,80,80,1.0,velocity,post_controller_hold,False,,0.1918,0.9863,not_attempted,0.0,False
-8.352334,80,89.631645,False,0.7690913628526549,False,False,2.0894347149052512,max_steps,0.5064283392678331,2.663382397894282,0.6824297248441157,1.618866443977327,80,80,1.0,velocity,post_controller_hold,False,,0.0503,0.7423,not_attempted,0.0,False
-13.470284,80,115.249542,False,1.6536873904631837,False,False,3.2095739173521114,max_steps,1.5822270308498556,3.474295393791513,1.7059249752250996,1.6299211859386598,80,80,1.0,velocity,post_controller_hold,False,,0.0431,1.4017,not_attempted,0.0,False
-4.9150014,80,139.252233,False,0.8813205717471573,False,False,2.3722695971306553,max_steps,0.9071627583658236,1.561736709994388,0.9071627583658236,1.6060642327397636,80,80,1.0,velocity,post_controller_hold,False,,0.0655,0.2958,not_attempted,0.0,False
-7.6581674,80,167.063722,False,1.3236048587653622,False,False,2.452926485828769,max_steps,1.7801199957093068,3.196476507503706,1.7801199957093068,1.6386798449500646,80,80,1.0,velocity,post_controller_hold,False,,0.1036,1.0484,not_attempted,0.0,False
-14.819808,80,197.732409,False,1.7231321091745413,False,False,2.09069554996482,max_steps,2.0944388485078895,3.1215313843426613,2.0944388485078895,1.58534126187103,80,80,1.0,velocity,post_controller_hold,False,,0.0536,1.1925,not_attempted,0.0,False
-15.481195,80,228.005686,False,1.9506946788657105,False,False,3.547804395939895,max_steps,2.0319789246442648,4.110273686322389,2.0319789246442648,1.6057484511579956,80,80,1.0,velocity,post_controller_hold,False,,0.1328,2.9211,not_attempted,0.0,False
-16.041588,80,257.477579,False,1.231765631611653,False,False,2.741117536143232,max_steps,1.1792627732965189,2.9073858982540814,1.287857745812698,1.5844956962167047,80,80,1.0,velocity,post_controller_hold,False,,0.1223,0.895,not_attempted,0.0,False
-12.440431,80,295.489548,False,1.1455467486728246,False,False,2.251944650437982,max_steps,0.9185068114169408,3.0979292800551326,1.7106911909369187,1.7350857468819512,80,80,1.0,velocity,post_controller_hold,False,,0.1506,0.8588,not_attempted,0.0,False
-13.362332,80,337.992693,False,2.032874510656354,False,False,3.1425670673758646,max_steps,1.7259864588660176,3.122656917850109,1.7259864588660176,1.6275661317922192,80,80,1.0,velocity,post_controller_hold,False,,0.0938,2.0098,not_attempted,0.0,False
-17.148027,80,377.425051,False,1.797111707950975,False,False,1.9669993993150674,max_steps,1.2548887523855932,2.549972600432865,1.2548887523855932,1.5599144859154706,80,80,1.0,velocity,post_controller_hold,False,,0.1738,0.3408,not_attempted,0.0,False
19.279457,1,414.398237,True,0.3633522621827702,False,False,1.5660707010525057,success,0.0,0.0,0.0,1.5660707010525057,1,1,1.0,velocity,post_controller_hold,False,,0.2172,2.1223,not_attempted,-0.6785859789498883,False
-13.311765,80,457.003068,False,1.4606460765540992,False,False,2.9945026222067903,max_steps,1.441592073175334,2.4188436676926384,1.4946818044648682,1.5875598506176516,80,80,1.0,velocity,post_controller_hold,False,,0.013,0.2616,not_attempted,0.0,False
-29.136654,80,516.352603,False,1.99609847591874,False,False,3.0321588957719454,max_steps,2.3523768923333286,3.9978700380070604,2.38047811197989,1.5652599175960675,80,80,1.0,velocity,post_controller_hold,False,,0.0786,2.9788,not_attempted,0.0,False
19.915041,1,565.765966,True,0.35398657363108904,False,False,1.5957181502509579,success,0.0,0.0,0.0,1.5957181502509579,1,1,1.0,velocity,post_controller_hold,False,,0.162,0.0041,not_attempted,-0.09040223697708628,True
-7.549293,80,614.636351,False,0.6900506353437521,False,False,2.180721446148626,max_steps,0.6140538018843283,1.3690691869404015,0.6536651750498405,1.6070761236902718,80,80,1.0,velocity,post_controller_hold,False,,0.1704,0.1966,not_attempted,0.0,False
-6.751217,80,709.544635,False,0.7602253835137194,False,False,1.9541145836463076,max_steps,0.5836713661310554,1.0691461377773377,0.5836713661310554,1.6284162307896182,80,80,1.0,velocity,post_controller_hold,False,,0.1211,0.8008,not_attempted,0.0,False
