#{"t_start": 1782484242.1214972, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,terminal_reason
-22.13957,200,44.146423,False,2.27047610780193,False,max_steps
-117.45867,200,82.44113,False,4.966208297884112,False,max_steps
-70.718765,186,118.212528,False,3.661780198527858,True,out_of_bounds
-29.661448,200,152.003437,False,3.2242247155393757,False,max_steps
-44.10833,200,185.395247,False,2.1981720575916146,False,max_steps
-38.550953,200,226.978949,False,1.2994621478178938,False,max_steps
-75.05283,200,272.907975,False,4.97603749884425,False,max_steps
-54.90586,200,314.095999,False,2.8100477373517814,False,max_steps
