#{"t_start": 1783088965.3270404, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
21.059397,7,14.653223,True,0.33330553446445205,False,False,1.486797798261201,success,True,0.6240958498321855,0.6244938974762502,0.6240958498321855,1.4850951177260314,7,7,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,simulator_service,service_success,True,,0.1089,0.0,service_success,0.0,False
20.968857,7,23.676764,True,0.36799713707031334,False,False,1.5123281654345135,success,True,0.5859649006551332,0.5863642341885815,0.5859649006551332,1.511053471545959,7,7,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,velocity,post_controller_hold,False,,0.0949,0.0,not_attempted,0.0,False
