#{"t_start": 1782841793.8558798, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active
-4.7355747,80,19.424833,False,0.5140865177963856,False,False,2.0792050749916213,max_steps,0.5723612942625026,1.7044140960634366,0.5723612942625026,1.6020149381993285,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188164,80,31.390008,False,0.5000009124033986,False,False,1.6007907354303097,max_steps,0.0013538630787916291,0.003155439672224113,0.0013538630787916291,1.6007907354303097,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.618826,80,43.404277,False,0.5000006253913587,False,False,1.6007908170332605,max_steps,0.0019308461678719802,0.0025611367100695226,0.0019308461678719802,1.6007908170332605,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.618823,80,55.727969,False,0.5000005844171264,False,False,1.6007644720190395,max_steps,0.0020447531131941865,0.002524139130278158,0.0020447531131941865,1.6007644720190395,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188183,80,67.699281,False,0.5000005417069537,False,False,1.6007360076407455,max_steps,0.002226700579199825,0.0023573280688231613,0.002226700579199825,1.6007360076407455,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6188316,80,79.815987,False,0.500000674400096,False,False,1.600821218942099,max_steps,0.0011980177239978573,0.003245091000236844,0.0011980177239978573,1.600821218942099,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6188293,80,92.789914,False,0.5000005079149191,False,False,1.6007126816801003,max_steps,0.0015121466539991246,0.003148423905973363,0.0015121466539991246,1.6007126816801003,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188126,80,106.619327,False,0.5000004210361014,False,False,1.6006488730836377,max_steps,0.0023234813461450177,0.0023234813461450177,0.0023234813461450177,1.6006488730836377,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.618808,80,120.410125,False,0.5000002424657618,False,False,1.600492408184919,max_steps,0.0023581393510188065,0.0023581393510188065,0.0023581393510188065,1.600492408184919,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.618807,80,134.998296,False,0.500000307220559,False,False,1.6005542748897,max_steps,0.002479642153179862,0.002479642153179862,0.002479642153179862,1.6005542748897,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.618806,80,149.400976,False,0.5000001869509713,False,False,1.6004323783137189,max_steps,0.002169616540657504,0.002169616540657504,0.002169616540657504,1.6004323783137189,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6188035,80,163.490161,False,0.5000002618925006,False,False,1.6005117544031908,max_steps,0.0024313919563154762,0.0024313919563154762,0.0024313919563154762,1.6005117544031908,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188045,80,178.287121,False,0.5000002620123146,False,False,1.6005118714519124,max_steps,0.002523933092556385,0.002523933092556385,0.002523933092556385,1.6005118714519124,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6188,80,193.787588,False,0.5000001706547058,False,False,1.600413103782265,max_steps,0.002488000926297751,0.002488000926297751,0.002488000926297751,1.600413103782265,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.618798,80,210.040068,False,0.5000001784141952,False,False,1.600422391082997,max_steps,0.002233064592983114,0.002233064592983114,0.002233064592983114,1.600422391082997,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188016,80,226.906442,False,0.5000001186525187,False,False,1.600344459769465,max_steps,0.0017008079481266591,0.0017008079481266591,0.0017008079481266591,1.600344459769465,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188,80,243.228754,False,0.5000000784793228,False,False,1.6002801416230943,max_steps,0.0015228336205628246,0.0015228336205628246,0.0015228336205628246,1.6002801416230943,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6187963,80,260.195655,False,0.5000000881093339,False,False,1.6002968321775952,max_steps,0.002145107255158596,0.002145107255158596,0.002145107255158596,1.6002968321775952,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6187973,80,276.407248,False,0.5000001074303092,False,False,1.6003277656491537,max_steps,0.0018926519802895392,0.0018926519802895392,0.0018926519802895392,1.6003277656491537,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6187963,80,293.225589,False,0.5000001300218225,False,False,1.6003605854121072,max_steps,0.0022037724231915856,0.0022037724231915856,0.0022037724231915856,1.6003605854121072,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6187973,80,312.200831,False,0.5000000927400089,False,False,1.6003045324572411,max_steps,0.0020607825574445737,0.0020607825574445737,0.0020607825574445737,1.6003045324572411,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.618799,80,331.74472,False,0.5000000340659865,False,False,1.600184569736427,max_steps,0.0010850333575982418,0.0010850333575982418,0.0010850333575982418,1.600184569736427,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6187997,80,352.045542,False,0.5000000231494102,False,False,1.6001521493039041,max_steps,0.0009699174723896142,0.0009699174723896142,0.0009699174723896142,1.6001521493039041,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6187997,80,372.902156,False,0.5000000317324553,False,False,1.6001781360613285,max_steps,0.0008119581551102595,0.0008119581551102595,0.0008119581551102595,1.6001781360613285,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188,80,391.044595,False,0.500000022258324,False,False,1.6001491922398705,max_steps,0.0007319661679467959,0.0007319661679467959,0.0007319661679467959,1.6001491922398705,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.618795,80,409.724118,False,0.5000000660277305,False,False,1.6002569586247768,max_steps,0.0017845038967205795,0.0017845038967205795,0.0017845038967205795,1.6002569586247768,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.618796,80,430.821895,False,0.5000000479820418,False,False,1.6002190480406069,max_steps,0.0016541843268509382,0.0016541843268509382,0.0016541843268509382,1.6002190480406069,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6188,80,452.441834,False,0.5000000154970312,False,False,1.600124487073468,max_steps,0.0007506708208915303,0.0007506708208915303,0.0007506708208915303,1.600124487073468,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,False
-4.6188,80,472.808179,False,0.5000000115269669,False,False,1.600107363714004,max_steps,0.0006908849197873046,0.0006908849197873046,0.0006908849197873046,1.600107363714004,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.618798,80,493.716758,False,0.5000000179562698,False,False,1.600134001007993,max_steps,0.0012897445629214133,0.0012897445629214133,0.0012897445629214133,1.600134001007993,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
-4.6187983,80,517.229138,False,0.5000000128052172,False,False,1.6001131601404461,max_steps,0.0011849013622584614,0.0011849013622584614,0.0011849013622584614,1.6001131601404461,80,80,1.0,simulator_service,service_success,True,,0.0,0.0,service_success,0.0,True
