#{"t_start": 1783158991.9633882, "env_id": "None"}
r,l,t,is_success,final_distance,is_out_of_bounds,is_unsafe_low_altitude,altitude,terminal_reason,terminal_stop_command_accepted,terminal_yaw_error,terminal_yaw_penalty,physical_displacement,path_length,max_physical_displacement,min_altitude,motion_command_steps,motion_command_accepted_steps,motion_command_acceptance_rate,mean_action_norm,max_action_norm,mean_xy_action_norm,max_xy_action_norm,last_action_vx,last_action_vy,last_action_vz,last_action_vyaw,reset_method,reset_path,reset_service_attempted,reset_failure_class,reset_position_error,reset_yaw_error,reset_service_status,vertical_safety_penalty,low_altitude_guard_active,bounds_guard_active
12.985142,66,31.708093,True,0.3906383679943044,False,False,2.058814648587605,success,True,0.02308039585950899,0.2308039585950899,1.363810972505412,3.705447734984734,1.386115909870005,1.0038754323533083,66,66,1.0,0.32555344188322366,0.9421162609054466,0.2294057821272445,0.5286350008721655,0.0333743579685688,-0.04733370989561081,-0.122438944876194,0.10292753577232361,simulator_service,service_success,True,,0.0775,1.1877,service_success,0.0,False,False
-100.26669,200,84.095825,False,4.5542010689516665,False,False,1.3522002652945515,max_steps,True,0.7639884313640988,0.0,3.6138618782753307,26.466940351730777,3.7242081933201137,0.758829854750746,200,200,1.0,1.0513837431832251,1.7761419892690615,0.5638962747976569,0.7071067811865476,-0.19151340425014496,0.5,0.5,0.2643290162086487,velocity,post_controller_hold,False,,0.1653,1.6214,not_attempted,0.0,False,False
-53.454517,200,135.745004,False,2.95538672785722,False,False,1.709996695437868,max_steps,True,0.10847010023974342,0.0,3.4431220584550926,21.5225199269082,4.545525803754996,0.7478215221037208,200,200,1.0,0.756668884893847,1.7308079005625134,0.4618670295562417,0.7071067811865476,0.2503959536552429,0.5,-0.13310490548610687,0.0001124020927818492,velocity,post_controller_hold,False,,0.1691,1.3065,not_attempted,0.0,False,False
-33.702297,200,190.350898,False,2.5571619225137985,False,False,1.002289951261844,max_steps,True,0.7418553853423482,0.0,2.7148866991981295,17.810771341882678,2.795513677314094,0.7484724518499534,200,200,1.0,0.6018120503435797,1.629043288730598,0.3399910662579957,0.7071067811865476,0.5,-0.4222627282142639,-0.5,0.3805542290210724,velocity,post_controller_hold,False,,0.142,2.1802,not_attempted,0.0,False,False
-22.005077,129,224.627049,True,0.35316957734424426,False,False,1.5566354917262413,success,True,0.5040861127341026,5.040861127341026,3.718719937817204,18.730277311856618,3.9990360652784847,0.6474441993342892,129,129,1.0,0.9713576433934085,1.793711581496792,0.5785829960327424,0.7071067811865476,0.5,0.14204487204551697,0.5,-0.28770652413368225,velocity,post_controller_hold,False,,0.1518,0.2224,not_attempted,0.0,False,False
-86.465065,200,278.852523,False,4.956793291899573,False,False,1.9660751775680652,max_steps,True,0.8480650861768214,0.0,4.237393120257985,27.561836036577535,5.578665627160164,0.6218910296829476,200,200,1.0,1.0066924664632946,1.793711581496792,0.6127753696307822,0.7071067811865476,-0.5,0.5,-0.5,1.2838232517242432,velocity,post_controller_hold,False,,0.2023,1.2304,not_attempted,0.0,False,False
-72.39209,200,330.186362,False,1.9929621705252019,False,False,2.209357238564211,max_steps,True,0.011202938626836653,0.0,3.039584390184937,25.177546212349352,3.761267797023006,0.6089183518214812,200,200,1.0,0.8738061107016817,1.7456353356493215,0.5080444095046329,0.7071067811865476,-0.124813012778759,-0.013335125520825386,0.44212380051612854,0.3564377427101135,velocity,post_controller_hold,False,,0.1639,1.139,not_attempted,0.0,False,False
-57.56929,200,379.078231,False,2.75481933647485,False,False,2.32290415216884,max_steps,True,0.9471274476570722,0.0,2.383647755070201,25.004404756819675,3.312796977028024,1.0258350254651283,200,200,1.0,0.8633112092325044,1.74671153520372,0.5502394221583283,0.7071067811865476,-0.5,-0.5,-0.2,-0.23132409155368805,velocity,post_controller_hold,False,,0.1866,1.2949,not_attempted,0.0,False,True
-151.9533,200,434.59843,False,6.944013520051874,False,False,0.9958576002033636,max_steps,True,0.2572836481346802,0.0,3.6769870812981567,28.616217180750205,5.489031311432249,0.547089941396108,200,200,1.0,1.1687466978983156,1.793711581496792,0.5907401418361524,0.7071067811865476,0.4885629415512085,0.44851264357566833,-0.5,-1.5458959341049194,velocity,post_controller_hold,False,,0.1487,1.1314,not_attempted,0.0,False,False
-67.44599,200,486.512906,False,2.749547081921212,False,False,1.6569426305624093,max_steps,True,0.23270106003849578,0.0,2.770751660014744,24.38597526475611,5.041363185658577,1.0175503535462784,200,200,1.0,0.7714059708586339,1.7838415884556826,0.5181684752300513,0.7071067811865476,-0.5,-0.2909108102321625,0.15033374726772308,0.08852807432413101,velocity,post_controller_hold,False,,0.1299,2.8426,not_attempted,0.0,False,False
-66.41671,200,536.417093,False,2.6041191536517445,False,False,1.0754958294896249,max_steps,True,0.19144248929553864,0.0,1.2504003188949238,26.615089172096273,2.7535924711411197,0.5974265696289182,200,200,1.0,0.8734378159713136,1.793711581496792,0.5567547763635055,0.7071067811865476,-0.5,0.47318196296691895,-0.4113749861717224,-0.597834050655365,velocity,post_controller_hold,False,,0.1891,0.2865,not_attempted,0.0,False,False
-90.841805,200,591.03071,False,5.1296781723846046,False,False,1.7180195346883198,max_steps,True,0.2136590838586976,0.0,2.623562237780414,26.319345617545725,3.028488559655274,0.5879185976787088,200,200,1.0,0.853051174930495,1.7256525891751424,0.5350002886183021,0.7071067811865476,-0.5,-0.2,0.5,0.10099449753761292,velocity,post_controller_hold,False,,0.1619,2.6305,not_attempted,0.0,False,True
-130.15129,200,646.651372,False,5.932130362208194,False,False,2.0941116238151434,max_steps,True,0.3858178798519857,0.0,5.513975613427085,29.682973074058545,6.391242872139259,0.5938681042544623,200,200,1.0,1.2304607430487562,1.793711581496792,0.6109923778860259,0.7071067811865476,0.05107839033007622,0.5,0.5,-0.48113828897476196,velocity,post_controller_hold,False,,0.1691,0.5996,not_attempted,0.0,False,False
-107.96302,200,697.158056,False,3.0702599998629845,False,False,2.0015220921214247,max_steps,True,0.4356052814246174,0.0,1.0100224009583683,28.708056487894513,3.907925855611828,0.6146372651459424,200,200,1.0,1.1610206947924766,1.793711581496792,0.5910050625316716,0.7071067811865476,0.5,-0.17877839505672455,-0.5,0.7520028352737427,velocity,post_controller_hold,False,,0.1976,0.0638,not_attempted,0.0,False,False
-57.504044,200,752.968786,False,2.0067668569317703,False,False,0.8435522537653791,max_steps,True,0.17798984292041284,0.0,2.595556168819516,25.33977446695393,3.092666528111032,0.6619415735286166,200,200,1.0,0.9883462755434549,1.7789075809685349,0.5120020216765756,0.7071067811865476,-0.2,0.045256007462739944,0.31070899963378906,-0.682384729385376,velocity,post_controller_hold,False,,0.1471,2.0757,not_attempted,0.0,False,True
-77.282036,200,807.702998,False,1.4441037407958546,False,False,0.8823570060211336,max_steps,True,0.562030336419426,0.0,2.734878192030972,25.7296538033239,4.410378652029141,0.6288809546891256,200,200,1.0,0.9066545439818716,1.793711581496792,0.529881718810364,0.7071067811865476,-0.3459431827068329,-0.5,-0.5,0.13235165178775787,velocity,post_controller_hold,False,,0.2043,2.1848,not_attempted,0.0,False,False
-48.575153,200,856.721056,False,3.8556972234934004,False,False,1.0688364322744108,max_steps,True,0.8822092494011463,0.0,3.1685422162717276,21.45783803524587,3.6568762948447886,0.604715081810931,200,200,1.0,0.7656397829592566,1.793711581496792,0.45058622369119866,0.7071067811865476,0.5,-0.20429709553718567,-0.5,1.1954584121704102,velocity,post_controller_hold,False,,0.1761,0.0669,not_attempted,0.0,False,False
-92.920975,200,910.348467,False,2.178481817199208,False,False,2.392496316866807,max_steps,True,0.7986723201971808,0.0,3.4466949994095573,28.446979526773898,5.542846205481463,0.6130880231240139,200,200,1.0,1.1326625401342796,1.793711581496792,0.5945976797549184,0.7071067811865476,-0.41487014293670654,0.5,-0.2,0.16356933116912842,velocity,post_controller_hold,False,,0.106,0.3239,not_attempted,0.0,False,True
-83.727,200,961.659133,False,1.0565137115901222,False,False,2.126653711612682,max_steps,True,0.019044778374782332,0.0,2.9394095230581545,24.426575569030806,3.8233396114515457,0.6800210522530991,200,200,1.0,0.8520468794596116,1.723074378380779,0.5169674929682835,0.7071067811865476,0.14984913170337677,0.21157275140285492,-0.1206703633069992,-0.7136476635932922,velocity,post_controller_hold,False,,0.1755,2.1076,not_attempted,0.0,False,False
